iter	Passed	Remaining
0	205	205496
1	212	106170
2	219	72846
3	223	55732
4	228	45557
5	238	39528
6	244	34622
7	249	30973
8	254	28001
9	258	25632
10	266	23959
11	271	22336
12	279	21229
13	283	19991
14	290	19096
15	297	18297
16	301	17443
17	314	17156
18	323	16691
19	327	16044
20	331	15459
21	341	15169
22	346	14710
23	354	14417
24	358	13998
25	363	13635
26	370	13341
27	375	13030
28	380	12731
29	388	12571
30	394	12328
31	399	12094
32	407	11941
33	411	11697
34	420	11583
35	424	11365
36	430	11194
37	440	11141
38	447	11035
39	453	10887
40	462	10810
41	471	10748
42	480	10704
43	488	10622
44	499	10594
45	504	10472
46	513	10408
47	518	10289
48	525	10206
49	530	10088
50	538	10013
51	547	9988
52	556	9938
53	561	9841
54	571	9816
55	578	9759
56	587	9716
57	593	9646
58	601	9585
59	605	9493
60	611	9405
61	624	9447
62	631	9389
63	636	9314
64	642	9246
65	657	9300
66	667	9300
67	674	9244
68	686	9264
69	694	9231
70	702	9189
71	709	9149
72	716	9099
73	725	9080
74	736	9081
75	745	9060
76	754	9039
77	763	9026
78	779	9086
79	796	9161
80	807	9165
81	819	9174
82	827	9144
83	840	9169
84	852	9177
85	860	9146
86	872	9153
87	884	9169
88	896	9180
89	906	9163
90	917	9167
91	925	9137
92	940	9175
93	948	9146
94	963	9174
95	977	9201
96	986	9181
97	996	9170
98	1014	9231
99	1027	9250
100	1039	9250
101	1047	9224
102	1065	9282
103	1074	9254
104	1086	9258
105	1096	9243
106	1105	9225
107	1117	9233
108	1129	9229
109	1139	9216
110	1147	9191
111	1160	9204
112	1168	9175
113	1180	9171
114	1191	9168
115	1198	9135
116	1216	9184
117	1224	9154
118	1235	9148
119	1243	9122
120	1255	9121
121	1267	9121
122	1274	9090
123	1288	9100
124	1300	9101
125	1308	9079
126	1318	9062
127	1332	9076
128	1344	9076
129	1351	9044
130	1363	9042
131	1372	9022
132	1382	9015
133	1393	9005
134	1401	8980
135	1413	8982
136	1425	8980
137	1432	8950
138	1443	8942
139	1456	8945
140	1467	8940
141	1475	8916
142	1488	8919
143	1497	8900
144	1511	8913
145	1520	8895
146	1533	8897
147	1541	8874
148	1553	8874
149	1565	8871
150	1574	8853
151	1587	8854
152	1597	8843
153	1608	8838
154	1616	8812
155	1628	8813
156	1639	8801
157	1647	8780
158	1656	8761
159	1668	8758
160	1677	8742
161	1686	8722
162	1693	8698
163	1701	8675
164	1709	8652
165	1721	8649
166	1731	8637
167	1738	8611
168	1750	8608
169	1762	8605
